Neighborhood,Pharmacy,Cluster Labels,Postal Code,Borough,Latitude,Longitude
Agincourt,0.0,0,M1S,Scarborough,43.7942003,-79.26202940000002
"Alderwood, Long Branch",0.1111111111111111,1,M8W,Etobicoke,43.60241370000001,-79.54348409999999
"Bathurst Manor, Wilson Heights, Downsview North",0.05263157894736842,3,M3H,North York,43.7543283,-79.4422593
Bayview Village,0.0,0,M2K,North York,43.7869473,-79.385975
"Bedford Park, Lawrence Manor East",0.04,3,M5M,North York,43.7332825,-79.4197497
Berczy Park,0.03508771929824561,3,M5E,Downtown Toronto,43.644770799999996,-79.3733064
"Birch Cliff, Cliffside West",0.0,0,M1N,Scarborough,43.692657000000004,-79.2648481
"Brockton, Parkdale Village, Exhibition Place",0.0,0,M6K,West Toronto,43.6368472,-79.42819140000002
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",0.0,0,M7Y,East Toronto,43.6627439,-79.321558
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",0.0,0,M5V,Downtown Toronto,43.6289467,-79.3944199
Caledonia-Fairbanks,0.0,0,M6E,York,43.6890256,-79.453512
Canada Post Gateway Processing Centre,0.0,0,M7R,Mississauga,43.6369656,-79.61581899999999
Cedarbrae,0.0,0,M1H,Scarborough,43.773136,-79.23947609999999
Central Bay Street,0.0,0,M5G,Downtown Toronto,43.6579524,-79.3873826
Christie,0.0,0,M6G,Downtown Toronto,43.669542,-79.4225637
Church and Wellesley,0.0,0,M4Y,Downtown Toronto,43.6658599,-79.38315990000001
"Clarks Corners, Tam O'Shanter, Sullivan",0.15384615384615385,2,M1T,Scarborough,43.7816375,-79.3043021
"Cliffside, Cliffcrest, Scarborough Village West",0.0,0,M1M,Scarborough,43.716316,-79.23947609999999
"Commerce Court, Victoria Hotel",0.0,0,M5L,Downtown Toronto,43.6481985,-79.37981690000001
Davisville,0.029411764705882353,4,M4S,Central Toronto,43.7043244,-79.3887901
Davisville North,0.0,0,M4P,Central Toronto,43.7127511,-79.3901975
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",0.0,0,M6M,York,43.6911158,-79.47601329999999
Don Mills,0.0,0,M3B,North York,43.745905799999996,-79.352188
Don Mills,0.0,0,M3C,North York,43.72589970000001,-79.340923
"Dorset Park, Wexford Heights, Scarborough Town Centre",0.0,0,M1P,Scarborough,43.7574096,-79.27330400000001
Downsview,0.0,0,M3K,North York,43.737473200000004,-79.46476329999999
Downsview,0.0,0,M3L,North York,43.7390146,-79.5069436
Downsview,0.0,0,M3M,North York,43.7284964,-79.49569740000001
Downsview,0.0,0,M3N,North York,43.7616313,-79.52099940000001
"Dufferin, Dovercourt Village",0.13333333333333333,2,M6H,West Toronto,43.66900510000001,-79.4422593
"East Toronto, Broadview North (Old East York)",0.0,0,M4J,East York,43.685347,-79.3381065
